TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,43,1,1,237.00930959836,1.00997801880112,0.510857003387173,1.38
2,144,1,1.5,242.043778612361,1.50794919887539,0.494735603719164,1.61
3,190,2,2,247.640628900521,0,0,1.7
4,47,1,1.5,253.564599587183,1.50357783454638,0.678015961902929,1.51
5,68,1,1.5,258.812392760808,1.50532263431433,0.411444388091695,1.33
6,9,1,1.5,264.228040530159,1.50703348628304,0.660416662398347,1.49
7,20,1,1.5,269.579264450714,1.50509933974445,0.56123758454396,1.44
8,6,1,2.5,274.915755612141,2.50153247970229,0.628297948119325,1.33
9,96,1,2.5,281.416172204304,2.50072973133592,0.661614785553866,1.49
10,195,2,1.5,287.630013482544,0,0,1.37
11,182,2,2.5,292.941682072431,0,0,1.4
12,50,1,1.5,299.412269963427,1.50405866413712,0.444990080512071,1.56
13,185,2,2,304.590596284297,0,0,1.29
14,110,1,2,310.635136088236,1.99753205359866,0.711583018023703,1.58
15,170,1,2.5,316.650759684414,2.49843825495373,0.544955225488593,1.52
16,123,1,1.5,323.156655626804,1.50890500498826,0.611597679961051,1.59
17,92,1,2,328.762423943031,2.003037449982,0.478336183290594,1.65
18,191,2,1,334.596559975955,0,0,1.54
19,41,1,2,339.434897634218,2.013398552127,0.47831130774739,1.41
20,187,2,1,345.266475583485,0,0,1.53
21,155,1,2,350.180057951233,2.00133742618982,0.628247611728511,1.5
22,196,2,2.5,356.248693375585,0,0,1.64
23,18,1,1,362.688349261972,1.00920160924306,NaN,1.57
24,101,1,1.5,367.372092744214,1.50883154897656,0.528250274875063,1.26
25,51,1,2,372.994124397024,2.00317880159037,0.494917341501605,1.67
26,64,1,2,378.760598370915,2.00312319743807,0.494880467168514,1.31
27,13,1,1,384.736071086689,1.01077549940601,0.644936759056691,1.61
28,143,1,2,389.716204308385,2.01387499191605,0.66155508425345,1.52
29,66,1,1,395.590310947199,1.00628648839574,0.911758258898772,1.44
30,60,1,2.5,400.678950404315,2.50065744593758,0.761672409014864,1.48
31,30,1,1,406.967753688823,1.01190806819159,0.528269004694266,1.32
32,172,1,2.5,412.147000112087,2.49892493761308,0.745043255640667,1.52
33,156,1,2.5,418.515641594364,2.51359916605452,0.578000187882935,1.36
34,95,1,2.5,425.329672043783,2.49916169424068,0.611696596821275,1.75
35,11,1,2,432.033053741998,2.0121737975096,0.528359727258248,1.74
36,114,1,2,437.799546738363,2.01221623225592,0.511676432999593,1.3
37,180,1,2.5,443.732231473648,2.51252249407389,NaN,1.42
38,116,1,2.5,450.309265027242,2.50208296081018,0.544893475614117,1.55
39,62,1,2,456.895762700208,1.99875036984031,0.978162493477612,1.62
40,81,1,1.5,462.988267231215,1.50594891266064,0.494970311771795,1.68
41,3,1,2.5,468.302219688494,2.50856581965945,0.94496739987062,1.31
42,17,1,1,474.434970797578,1.00895021994438,0.978262580951196,1.25
43,177,1,2.5,479.476479882564,2.50040225214343,0.711649157699867,1.55
44,7,1,1.5,485.937244568425,1.50617776764557,0.811791065349098,1.54
45,93,1,2,491.182089844019,2.01113487782095,0.611678452307387,1.29
46,121,1,1.5,497.166872450806,1.50958396095302,0.678367438676105,1.57
47,125,1,2,502.433388713118,2.0093619833242,0.811685417459557,1.31
48,53,1,1,508.26687242154,1.00930286733092,0.76178069078469,1.46
49,139,1,2.5,513.234177765304,2.50838378922344,0.461623038380822,1.47
50,109,1,1,519.855788875131,1.003253720869,0.761505011251757,1.74
51,161,1,1,524.788125060177,1.003951991961,0.561723681897092,1.57
52,151,1,1,529.665305145345,1.01009625078768,0.528318463124378,1.52
53,36,1,2,534.87003758548,2.00505032029469,0.495114004607785,1.75
54,94,1,1.5,540.868644555139,1.50622956730331,0.561629154837647,1.58
55,25,1,2.5,546.360131413098,2.49803731975135,0.394926443022996,1.49
56,124,1,1,552.636151302996,1.00508631666617,0.711650620966793,1.41
57,61,1,1,557.635068777946,1.00610884776233,0.578295475197592,1.64
58,129,1,2,562.455628032804,2.00184225336125,0.478262141971754,1.37
59,153,1,1.5,568.541287107358,1.49955033800052,0.378170570712427,1.68
60,69,1,1,573.759119885771,0.998058537124962,0.878328164586492,1.36
61,106,1,1.5,578.582015392985,1.50829628584779,0.795043094681205,1.44
62,24,1,2.5,584.149245056572,2.50750846280607,0.528265200199712,1.57
63,59,1,2,590.481467575024,2.00856713659959,0.744847763147845,1.37
64,83,1,1,596.268801592971,1.00442579786795,0.828314863487321,1.42
65,42,1,2.5,601.200501842107,2.50563606614105,0.51164189989413,1.45
66,80,1,2,607.69421140289,2.01200464382509,0.594838295808586,1.53
67,65,1,2.5,630.157398088564,2.51475251323518,0.411205290238286,1.66
68,23,1,1.5,636.35682501461,1.49837621242659,NaN,1.25
69,165,1,2.5,641.98194328318,2.50614820964893,0.594948333498905,1.62
70,134,1,2,648.542864509362,2.01190309308367,0.494900367601986,1.59
71,141,1,1,654.31703673181,1.00410592766639,0.995059717396543,1.39
72,175,1,2.5,659.462094503062,2.50876072684514,0.861756078631515,1.64
73,98,1,2.5,666.022835454729,2.49792406287179,0.528301781879236,1.53
74,150,1,2,672.418694876897,2.00178196675461,0.794945348434339,1.43
75,147,1,2,678.363448932414,2.00683053112789,0.595050469548369,1.48
76,4,1,1.5,684.054559672182,1.49883655627673,0.694940695244441,1.27
77,136,1,1,689.172329559372,0.997806855172712,NaN,1.25
78,171,1,2.5,694.331671159385,2.50481458795457,0.644966317052422,1.67
79,82,1,1,700.821633292957,0.998137846205282,0.678034106416817,1.61
80,188,2,1.5,705.418279016368,0,0,1.27
81,56,1,2.5,710.934614492022,2.50130830717171,0.461583530167445,1.53
82,178,1,1,717.56227299239,1.00690515775295,0.578237237164103,1.75
83,160,1,1,722.207071033719,1.01176730189036,0.844900118846454,1.27
84,130,1,1.5,727.246956770113,1.50513240958298,0.661623565157242,1.63
85,87,1,1.5,732.417310040851,1.50117193067308,0.761634071414846,1.25
86,48,1,2.5,738.068284825539,2.49995917484557,0.678376803586616,1.65
87,111,1,2.5,744.43851980576,2.51286314267054,0.678233403404192,1.35
88,189,2,2.5,750.962342234192,0,0,1.58
89,8,1,1.5,757.439416203225,1.51171125875771,0.744888734628148,1.56
90,67,1,1,762.892216033253,1.00861191257536,0.794855796484626,1.57
91,39,1,1.5,768.00380449463,1.5136377963081,0.461582359554086,1.7
92,152,1,2,773.51807500766,1.99902283018673,0.428306786252506,1.55
93,22,1,1,779.214495358663,1.00254930405572,0.761587246865929,1.32
94,19,1,1.5,784.06537380184,1.50130947778598,0.761658068996439,1.44
95,70,1,1,789.404767792671,1.01204005488944,0.511587759008762,1.47
96,76,1,2,794.275562179928,2.007567139819,0.428279569483493,1.41
97,197,2,1.5,800.256279245223,0,0,1.64
98,169,1,2,805.70657454717,2.0093824690648,0.444988617244235,1.51
99,79,1,2,811.905220381205,2.0105969808119,0.611585681170254,1.73
100,91,1,2,817.999320458729,1.99967983714396,0.411655683870777,1.62
101,26,1,2,823.924822308152,2.00716474134879,0.778304488922913,1.47
102,89,1,1,829.8911417025,1.00754870265337,0.711664960984308,1.59
103,77,1,1.5,834.932153569304,1.49966564345323,0.761620316703556,1.64
104,138,1,1.5,840.589437084048,1.50892285684768,0.49471804451332,1.75
105,115,1,2.5,846.227823673965,2.50357988311953,0.494955679100713,1.63
106,137,1,2,852.78611775028,2.01168331035478,0.444924233489473,1.59
107,75,1,2.5,858.998353531786,2.4992632449821,0.645044455520292,1.71
108,28,1,2,865.469113210347,2.01149659746443,0.42831790708351,1.5
109,38,1,1,871.314435628097,0.999513024687985,0.811636836990147,1.47
110,181,2,2,876.195726908693,0,0,1.52
111,85,1,1.5,882.078150758075,1.50194395042945,0.528232423014742,1.49
112,186,2,1,887.369298781889,0,0,1.51
113,194,2,1,892.08572521423,0,0,1.46
114,164,1,2.5,896.854821362881,2.50826643519758,0.728196368112549,1.29
115,104,1,2,903.228890981035,2.00040737357904,0.444998274807404,1.41
116,149,1,1,909.154563447411,1.00812581522314,0.744986773528581,1.57
117,131,1,1,914.254117706967,1.00830755300467,0.911605201153179,1.74
118,168,1,1,919.001268067326,1.01102249890391,0.794970809282859,1.39
119,97,1,1.5,924.005527930698,1.50650319826309,0.511569029189559,1.6
120,192,2,2.5,929.303882252647,0,0,1.37
121,46,1,2.5,935.621705929539,2.50667996093671,0.645034505302647,1.32
122,72,1,1,942.104239055713,1.00716152216046,NaN,1.61
123,71,1,2.5,947.106388009871,2.50494803792026,0.428285129898541,1.5
124,112,1,1.5,953.612229811376,1.49885177425585,0.928257181496519,1.58
125,119,1,1.5,958.966842073379,1.51077008531684,NaN,1.45
126,14,1,1,964.579539252288,0.997800124144305,0.994903733116189,1.74
127,135,1,2,969.656491594554,2.00409509948895,0.811585037332407,1.64
128,5,1,1,975.366111200695,1.01087880606792,0.994983042196509,1.32
129,15,1,2.5,980.115178441041,2.51177622782052,0.628038657177058,1.25
130,58,1,1.5,986.442114760532,1.50111252202532,0.51161965823394,1.4
131,73,1,1.5,991.726407670329,1.50011398851257,0.544899621335389,1.38
132,33,1,1,997.075423228078,1.00085659659817,0.62840740050342,1.49
133,154,1,1,1015.29271840214,0.999596430915517,0.795074701251906,1.69
134,162,1,1.5,1020.02051734689,1.50495945140392,0.445027832804954,1.31
135,126,1,2.5,1025.50638701485,2.50212715147791,0.445039246288616,1.47
136,21,1,2.5,1032.24788770068,2.51046016533201,0.395024481923429,1.72
137,10,1,2,1038.92080066467,2.00412290156601,0.511509620542711,1.68
138,31,1,1.5,1044.6165496687,1.5081081096896,0.678236037285387,1.26
139,102,1,2,1049.96770247447,2.00680711885343,0.628319897125948,1.38
140,99,1,2,1056.05149412747,2.0060988975456,0.595031447074689,1.61
141,78,1,1.5,1061.82667190711,1.51400068656494,0.878252659999816,1.35
142,2,1,1.5,1067.04455531457,1.51267116201871,0.79502992527614,1.29
143,132,1,2.5,1072.60491347555,2.50211281146039,0.54494498261738,1.54
144,55,1,1.5,1078.98366730455,1.50654504770409,0.511654776645628,1.45
145,142,1,2,1084.23593924632,2.00392126334918,0.478313941628585,1.28
146,127,1,2.5,1090.08486481314,2.50491877257627,0.928347611406025,1.33
147,86,1,2.5,1096.8011352612,2.5052357162449,0.511574882258174,1.69
148,49,1,2.5,1103.42787629305,2.51143031146239,0.844932018070722,1.59
149,88,1,2,1109.83647608978,2.00269182627744,0.644937051710258,1.42
150,74,1,2,1115.99732544028,2.00832218567666,0.728299967428029,1.69
151,117,1,2,1122.12732824097,2.01125984083774,0.561666321823395,1.65
152,40,1,1.5,1127.89941355179,1.50584736192013,0.828293499786014,1.34
153,16,1,1,1133.21071925142,1.01093353225951,0.561614522165655,1.43
154,84,1,2.5,1138.16544810655,2.50608119201206,0.678281691220946,1.44
155,193,2,2,1144.65875468355,0,0,1.6
156,107,1,1.5,1150.43410600668,1.5037715711187,0.544923033609848,1.36
157,198,2,1,1155.9039880176,0,0,1.68
158,1,1,1.5,1160.96613473003,1.50464104446837,0.81146943922613,1.66
159,90,1,1.5,1166.19264468274,1.51122545405906,0.511607659443143,1.3
160,105,1,1,1171.62060145548,0.999920105613455,0.461567434228527,1.55
161,174,1,2,1176.72224672382,1.99804127057268,0.594988719672983,1.64
162,103,1,1,1182.81161986309,1.00830491912347,0.695012395336562,1.71
163,157,1,1.5,1187.55806112418,1.51166970197028,0.461750635277895,1.32
164,34,1,2,1192.94374908363,2.00918141615603,0.545023999045043,1.41
165,52,1,1,1198.96962140303,0.999847234907975,NaN,1.64
166,44,1,1.5,1203.80709075856,1.51208556249912,0.528358263991322,1.43
167,167,1,1.5,1209.15487190413,1.49769228135301,0.578293133969964,1.43
168,158,1,2.5,1214.75393757878,2.49826471146844,0.52839543097798,1.59
169,173,1,2.5,1221.49678300714,2.5051569924708,0.728261337174445,1.73
170,133,1,1.5,1227.81522623135,1.50322313858487,0.628369648210537,1.38
171,148,1,1,1233.38458348539,1.00045858792964,0.628204006367014,1.7
172,35,1,1,1238.37685538618,1.00805791962557,0.54498419817719,1.63
173,122,1,1,1243.32779262344,1.00673307753459,0.744961312679152,1.58
