TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,61,1,1,154.450497232815,1.01478426613198,NaN,1.73
2,49,1,2,159.563891365875,2.00063681387041,0.445083729610474,1.63
3,73,1,1.5,165.242403668001,1.50524976360919,0.511355977490211,1.27
4,45,1,1.5,170.838589047562,1.50897202262445,0.628031048188063,1.69
5,136,1,1,176.16614228049,1.01494200633249,0.443571589321778,1.45
6,164,1,2,180.874113369843,2.00639359955233,0.444863361575358,1.25
7,85,1,1,186.943686455794,1.0030833965709,0.611820974530133,1.71
8,163,1,2,191.798965235991,1.99771232811372,0.561639690360948,1.42
9,4,1,2.5,198.027439771192,2.5021824629772,NaN,1.75
10,159,1,1.5,204.399827510067,1.51304166126477,NaN,1.46
11,18,1,1,209.538491096458,1.0074925131936,NaN,1.26
12,149,1,1.5,214.256331337535,1.50627785511961,NaN,1.33
13,5,1,1,219.843591665347,1.00207988794887,NaN,1.73
14,91,1,2,224.673238101955,2.00554519724994,NaN,1.39
15,44,1,2,230.464412318251,2.0144992216882,NaN,1.35
16,3,1,2,236.492833649058,2.00225021224685,NaN,1.58
17,98,1,2,242.271422889771,2.00699675827798,NaN,1.32
18,190,2,2,248.108843664829,0,0,1.45
19,167,1,2,254.191909829965,2.00269124097053,NaN,1.66
20,172,1,1,260.118816415868,1.00876701889467,NaN,1.57
21,175,1,1,264.822908676618,1.00458880583062,NaN,1.35
22,109,1,1,269.915346189989,1.01199293768741,NaN,1.75
23,52,1,2.5,275.086920996157,2.50676424512528,NaN,1.69
24,89,1,2,281.619775880148,2.00723292959844,NaN,1.58
25,102,1,1,287.168632468552,1.008076064139,NaN,1.25
26,173,1,2.5,292.27937194232,2.51390967134728,NaN,1.69
27,55,1,1,298.732460328632,1.010403244239,NaN,1.45
28,138,1,1,303.615693364757,1.01058937182233,NaN,1.53
29,66,1,2,308.682588671795,2.01012551613098,NaN,1.63
30,162,1,2,314.683789721485,2.00859201214166,NaN,1.56
31,99,1,2.5,320.614938904206,2.51071565177881,NaN,1.44
32,25,1,2,327.183312257409,2.00875297152993,NaN,1.61
33,21,1,2,333.376411138273,1.99882763034725,NaN,1.75
34,130,1,1.5,339.38394403764,1.50764103481083,NaN,1.61
35,179,1,1,344.571702286004,1.00313753745604,NaN,1.33
36,87,1,2,349.306628805116,2.00141702792303,NaN,1.31
37,11,1,2,355.4669226994,2.00742403229037,NaN,1.73
38,170,1,2,361.509731458283,1.99790489407269,NaN,1.6
39,143,1,1,367.568392960983,1.00564850391174,NaN,1.71
40,93,1,1.5,372.390120780998,1.50055296866185,NaN,1.43
41,134,1,2.5,377.813312277894,2.51024740628577,NaN,1.45
42,115,1,1.5,384.217406382362,1.50611513981084,NaN,1.49
43,60,1,2,389.80874278719,1.99798449580635,NaN,1.65
44,117,1,1.5,395.828317204715,1.51133110194837,NaN,1.63
45,161,1,1.5,401.056879828599,1.49943181335971,NaN,1.33
46,22,1,2,406.245209336464,2.01073452792502,NaN,1.26
47,127,1,1,412.025811740144,1.01346381384201,NaN,1.42
48,191,2,1.5,416.618297687657,0,0,1.27
49,16,1,1.5,422.022687957399,1.49961296583479,NaN,1.53
50,39,1,1.5,427.549710551122,1.50572269155714,NaN,1.64
51,56,1,2,432.985650324216,2.00294028904204,NaN,1.5
52,169,1,1,438.808549635925,1.01301342020838,NaN,1.47
53,153,1,2.5,443.851656316003,2.50310695517237,NaN,1.56
54,35,1,1.5,450.327534210455,1.51052308581984,NaN,1.57
55,86,1,1.5,455.825624793131,1.51205073674032,NaN,1.6
56,129,1,1.5,461.34743259533,1.50683799379044,NaN,1.62
57,176,1,1,466.906402408421,0.997654382734027,NaN,1.69
58,29,1,1,471.663898945599,1.00681882499066,NaN,1.41
59,9,1,2,476.829794226592,2.00715859562638,NaN,1.73
60,103,1,1,482.598871938077,1.00471669538069,NaN,1.4
61,97,1,2.5,487.811946756976,2.50806830882311,NaN,1.73
62,111,1,2.5,494.265028119605,2.50488833661939,NaN,1.45
63,47,1,1.5,500.797083474417,1.50581634065566,NaN,1.62
64,65,1,1,505.922980054791,1.01309360724895,NaN,1.27
65,71,1,1,510.905113855355,1.01420510498792,NaN,1.63
66,34,1,2,515.898704745171,2.00359963722667,NaN,1.55
67,112,1,2.5,545.104355239126,2.5137106670129,NaN,1.67
68,177,1,2.5,551.477747071929,2.50682540969274,NaN,1.35
69,83,1,1,557.924064043107,1.01019019253954,0.494970311772477,1.57
70,128,1,2.5,562.955246266401,2.51231324686978,0.994880320841958,1.54
71,131,1,2,569.577191293794,2.00672371262499,0.945076852254942,1.66
72,74,1,1,575.631688045488,1.00209422796706,0.999897571298561,1.68
73,126,1,2.5,580.796477096503,2.50374728088377,0.611586559130046,1.68
74,46,1,1,586.994462119086,1.0055645123764,NaN,1.32
75,68,1,1,591.991586506453,1.00848051118373,0.478138056915896,1.64
76,82,1,2,596.930751174052,2.00216826928568,0.911610761569136,1.5
77,28,1,2,603.033999012587,1.99894469172045,NaN,1.66
78,108,1,2,609.111482813488,2.00448257263452,NaN,1.63
79,43,1,1.5,614.78006450667,1.50248331070634,0.00511353343608789,1.26
80,165,1,1.5,620.06292897506,1.50254213404651,0.811671370094928,1.39
81,79,1,2.5,625.610595927259,2.50472064620226,0.995033378587323,1.56
82,92,1,2.5,632.070075279243,2.51183563646691,0.494956557061187,1.45
83,120,1,1,638.633018447994,0.998532635686615,NaN,1.68
84,185,2,2,643.432309992564,0,0,1.43
85,48,1,1,649.04336684898,1.00458968379098,0.994955532774156,1.26
86,36,1,2,654.029969174814,2.00112232591596,0.911664609800937,1.55
87,13,1,1,660.041341979877,1.00618201112025,NaN,1.64
88,95,1,1,665.130957436192,0.99980362954625,0.644976852576747,1.73
89,90,1,1.5,670.153382590808,1.510559082192,0.395046138276939,1.63
90,94,1,1.5,675.819341231269,1.51112624454549,0.594797031674943,1.75
91,155,1,1,680.981753643755,0.998398015107568,0.928357268969876,1.29
92,113,1,1.5,685.956199438632,1.50717513054542,0.594906776712151,1.59
93,81,1,2.5,691.334852302202,2.51168053014749,NaN,1.38
94,64,1,1.5,697.85305754064,1.50984003270696,NaN,1.6
95,160,1,1,703.222514355382,1.00700495257388,NaN,1.5
96,27,1,2.5,708.115122836889,2.51411365079025,NaN,1.42
97,133,1,2,714.660882274011,2.00156832974767,0.06168432000959,1.58
98,24,1,2,720.629774677342,1.99904126735328,NaN,1.53
99,195,2,2,726.720242340455,0,1,1.73
100,53,1,1,732.723539374032,1.00503393170243,NaN,1.65
101,150,1,1.5,737.555716384876,1.50586609173934,0.694956205876906,1.44
102,166,1,2.5,742.8753372465,2.50292755861778,0.511568443882652,1.35
103,141,1,1.5,749.409308603338,1.50191000263089,0.944995787253902,1.63
104,6,1,1.5,755.053080309077,1.50805279819133,NaN,1.75
105,41,1,2.5,760.415390234331,2.51205278531438,0.278361702669372,1.38
106,42,1,2.5,767.036579337907,2.50733052951841,NaN,1.62
107,8,1,1.5,773.558770516103,1.50174582405498,0.628253757450693,1.61
108,182,2,1,778.787863428008,0,0,1.45
109,59,1,2,783.556524401004,2.00365407076515,0.0116476066364157,1.35
110,62,1,1,789.251946218493,1.00798300034739,NaN,1.34
111,193,2,2,793.961432959976,0,0,1.35
112,30,1,2,799.990848727148,2.00194175552861,NaN,1.61
113,106,1,2.5,805.74667567649,2.51263165380487,NaN,1.26
114,2,1,2.5,812.267773208807,2.50806538228881,NaN,1.52
115,10,1,1,818.759454681299,0.999388646978332,NaN,1.62
116,12,1,2,823.787401913544,2.00479629711458,0.461571531376421,1.6
117,76,1,2,829.824047976433,2.00114925003163,NaN,1.59
118,100,1,2,835.75203503881,2.0063906730179,0.0613269901675721,1.48
119,7,1,2,841.832209495375,2.00931428081458,NaN,1.64
120,38,1,1.5,847.625660848034,1.49890240329933,0.111656649627321,1.39
121,147,1,2.5,853.319952730618,2.50452837289663,NaN,1.73
122,122,1,2,859.637256362359,2.00355954370639,NaN,1.37
123,142,1,2,865.344756864991,2.01258702415657,NaN,1.27
124,158,1,1,870.978191466167,1.01236870469529,0.578282013139642,1.27
125,84,1,2,875.839506223422,2.00090605502896,NaN,1.42
126,174,1,2,881.977371158595,2.01277637092767,NaN,1.69
127,101,1,1,888.091814161558,0.998126725374959,NaN,1.74
128,187,2,2.5,893.132792665871,0,1,1.63
129,75,1,2.5,899.483922937328,2.50548710554335,NaN,1.38
130,116,1,1.5,906.020260397172,1.50240722081389,0.644941148857924,1.63
131,19,1,1,911.207227895959,0.998646770525511,0.528328120688002,1.34
132,121,1,2,916.032593983455,2.00642227958883,0.444857508506857,1.39
133,118,1,2,935.811715853417,2.01001869762786,NaN,1.68
134,58,1,2,941.612427352443,2.00901050655102,0.811647665166902,1.33
