TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,137,1,1.5,246.702722927368,1.51415926328809,0.727140687751671,1.38
2,51,1,2,252.086042198745,2.01344650793726,0.9113417798726,1.43
3,188,2,1,257.841540043213,0,0,1.5
4,175,1,1.5,262.467586532246,1.49843328443058,0.561125319392886,1.28
5,178,1,1.5,268.07070486251,1.51139398909072,0.611275435532662,1.74
6,23,1,1.5,273.231487017492,1.50118304803982,0.610503710688135,1.28
7,112,1,1,278.535300192771,1.01346260382888,0.728114635527163,1.5
8,57,1,1,283.54365513118,1.00455952714401,0.611609937428511,1.69
9,20,1,2.5,288.577125806367,2.50428779922549,0.51156753207033,1.58
10,10,1,1.5,294.928241588213,1.50306714532962,0.494771030087577,1.49
11,77,1,1.5,300.048338011384,1.49934548251258,0.578411136484647,1.27
12,198,2,1.5,305.207422196117,0,0,1.38
13,94,1,2,310.746786455218,2.00049546081209,0.494895992738748,1.62
14,42,1,2.5,316.874055793043,2.50673144824214,0.57811702064464,1.69
15,86,1,1,323.132406268502,0.998164775692203,0.577798907293982,1.45
16,109,1,1.5,327.878400220543,1.50171274920467,0.578342655780943,1.4
17,93,1,2,333.466934502305,2.01280091635454,0.611642129211759,1.69
18,68,1,1.5,339.546860554852,1.49957375152189,0.544855884701974,1.72
19,162,1,1.5,344.803972524605,1.50869631764181,0.528306381493167,1.39
20,179,1,2.5,350.049324250567,2.51323213992509,0.561602635745658,1.3
21,9,1,1.5,356.199986772102,1.51260322953749,0.678526704985416,1.29
22,92,1,1,361.742774481047,1.00324698033728,0.661568951434674,1.72
23,138,1,2,366.451442352856,2.01056183149012,0.544967970638027,1.29
24,108,1,1,372.022691402834,1.00578603409303,0.628274160444562,1.26
25,119,1,1.5,376.7767865635,1.50166153500504,0.528581474916791,1.4
26,11,1,1.5,381.93748999494,1.50784440598909,0.544876663034302,1.32
27,174,1,1,387.145514762713,0.999030734665212,0.62839444065321,1.4
28,116,1,1,392.12830357203,0.99940884179523,0.611658517755131,1.69
29,126,1,1,396.900760925964,1.01017055499506,0.761791338127296,1.47
30,66,1,2.5,401.7721409965,2.50563312312079,0.577911285883602,1.42
31,58,1,1.5,408.366648317349,1.51066323560735,0.694893300333206,1.75
32,54,1,1,413.523555166912,1.00342198657745,0.81160461114996,1.35
33,84,1,2.5,418.529222091407,2.51445367177985,0.678127234219573,1.56
34,187,2,2,425.063138037489,0,0,1.69
35,180,1,1,430.635702268144,1.00742166934288,0.761530584681168,1.27
36,69,1,2,435.316597703086,2.00962680650809,0.578303732987479,1.28
37,78,1,1,441.10383518275,1.00564760942507,0.728483670425703,1.48
38,99,1,1.5,445.995953492822,1.51320814241444,0.661605533006878,1.54
39,40,1,2.5,451.646716247866,2.51229887085901,NaN,1.7
40,135,1,1.5,458.236787248308,1.50572823520815,0.561501963260525,1.73
41,167,1,1,463.380598187719,1.01171195611641,0.611146668397851,1.34
42,18,1,2,468.331268376753,2.01060221754597,NaN,1.54
43,98,1,1.5,474.028704827977,1.51285169157563,0.561627218563444,1.34
44,113,1,2,479.371545565567,2.00333594672156,0.528083380231692,1.43
45,61,1,1,484.942079372646,0.999047415862151,0.694922272938129,1.26
46,25,1,1,489.710075823356,0.997697409526154,0.594849724366213,1.47
47,140,1,2.5,494.427861871496,2.51291987962577,0.811633583756702,1.27
48,103,1,2,500.688886898852,2.00183990675032,0.528725752636092,1.35
49,26,1,2,506.524523261636,1.99916447689429,0.728385339160013,1.44
50,132,1,1.5,512.20156855928,1.50534515298568,0.678222931612254,1.33
51,150,1,2.5,517.582522905186,2.50785084434574,0.511514561952936,1.42
52,189,2,1.5,523.970846828275,0,0,1.61
53,55,1,1.5,529.156556251775,1.4997988013547,0.594900353260527,1.36
54,142,1,1.5,534.451414550862,1.50463459252933,0.778289334481087,1.45
55,171,1,1,539.698985461313,1.00722939660045,0.61153735958942,1.45
56,13,1,2.5,544.649952400057,2.50568228875272,0.478312834484313,1.51
57,139,1,1,550.790698389035,0.99826866735566,0.69477653195645,1.34
58,62,1,2,555.662566018762,2.00944331334176,0.511628696458502,1.48
59,65,1,1,561.302992870105,1.0022832754039,0.778399079197698,1.32
60,115,1,1,565.873869666004,0.997820616263198,0.678205079804684,1.27
61,22,1,2.5,570.867491303097,2.50398402585233,NaN,1.55
62,50,1,1.5,577.10353404325,1.50116080644511,0.512035190886309,1.39
63,15,1,2,582.654120358055,2.0007061706674,0.544432709077228,1.65
64,43,1,1.5,588.673732470475,1.5138657327534,0.994829414275955,1.67
65,107,1,2,593.854224191189,1.99978051056678,0.494857069943464,1.27
66,146,1,1,599.822493628222,0.99829793261415,0.694771264208612,1.67
67,12,1,2.5,689.88004902516,2.50389564477337,0.728248963057922,1.59
68,100,1,2.5,696.52153088904,2.51232111245372,0.495349311579048,1.69
69,76,1,2,702.752780565294,2.01447693766022,0.494778931706605,1.34
70,52,1,2,708.703566059441,2.01322350667397,0.544806133764723,1.55
71,170,1,2,714.840979028224,2.00872104678274,0.511668204555463,1.74
72,160,1,2,720.642192131683,2.00741786485924,0.528285895814406,1.41
73,149,1,2.5,726.800626920349,2.49864487224295,0.545042304393064,1.72
74,73,1,2,733.07291058498,2.00947638308207,0.528425491093003,1.38
75,28,1,1,738.935571071996,1.01381378692167,0.678196007575025,1.54
76,181,2,2.5,743.674268317343,0,0,1.36
77,117,1,1,749.947036029336,1.00167397273981,0.67821824917155,1.49
78,183,2,1,754.648687848274,0,0,1.48
79,59,1,1.5,759.253738270851,1.5115411933366,0.544779795032809,1.27
80,31,1,2.5,764.755865708756,2.50870451191258,0.644937212851801,1.56
81,152,1,1,771.152709333655,1.01179653271174,0.794856689495646,1.57
82,56,1,2.5,776.15389896638,2.51032141739779,0.495004859496476,1.56
83,147,1,2,782.746284848703,2.0015390599001,0.528210391448738,1.69
84,194,2,1,788.49600719457,0,0,1.5
85,166,1,1.5,793.497471920717,1.49951053856603,0.578289685665368,1.68
86,184,2,2.5,798.93919030641,0,0,1.57
87,83,1,2.5,805.307911481959,2.50526350291693,0.744923136262514,1.44
88,168,1,2,811.573584417538,2.00607897932059,0.728267692824375,1.36
89,60,1,2.5,817.423647967045,2.50636299864709,0.594794705681124,1.4
90,63,1,2.5,824.034807219505,2.51108816714986,0.561562542343381,1.67
91,48,1,2.5,830.482798320525,2.51290027190407,0.544913244608324,1.5
92,24,1,1,836.57919778661,0.999646768339517,0.611613449258584,1.27
93,75,1,1,841.493833956536,1.0016529017521,0.644900338627849,1.62
94,3,1,2.5,846.637064858542,2.50801209591555,0.561689553562246,1.71
95,122,1,1,853.08962280302,1.00529993816235,0.611623399447126,1.63
96,163,1,1.5,858.118163452902,1.51009578226331,0.97849530336498,1.69
97,87,1,1,863.280961984137,1.01427412942576,0.628099739511526,1.36
98,33,1,2,868.207364250908,2.00377316967024,NaN,1.53
99,192,2,2,874.088102180232,0,0,1.57
100,41,1,2.5,879.83953829959,2.50462727621561,0.528209513491674,1.33
101,154,1,2,886.024722704367,2.00226922807997,0.51156753207033,1.29
102,70,1,1,891.647776235499,1.01253343189819,0.728140096300194,1.32
103,88,1,1,896.230809526778,1.01265254149621,0.611606132944871,1.28
104,128,1,1.5,901.225357409276,1.50129308540818,0.544961239629629,1.64
105,143,1,1.5,906.811090420573,1.49855941769056,0.578218863742222,1.75
106,82,1,1,912.023292803879,1.00288292053301,NaN,1.42
107,21,1,2.5,916.862213899183,2.51375598803861,0.528596400197785,1.39
108,72,1,1,923.374142564531,1.00223703629672,0.594868746782595,1.7
109,110,1,2.5,928.165307734427,2.51030824803274,0.611684856487045,1.36
110,130,1,1,934.502111927319,1.00661658210629,0.678314531869546,1.52
111,148,1,2,939.261864354945,2.01375086661574,0.544754626909707,1.35
112,104,1,1.5,944.881472487292,1.51019030904536,0.694944514534654,1.26
113,158,1,2.5,950.179058893696,2.51243232043271,0.578258079187435,1.35
114,131,1,1.5,956.303840684619,1.50405923756261,0.695012702584791,1.28
115,4,1,1,961.780101439235,1.011149477863,0.544866127542264,1.67
116,101,1,2,966.582513832955,2.0083376719067,0.494934037571511,1.41
117,186,2,2.5,972.5120141199,0,0,1.56
118,8,1,2.5,978.951642380893,2.50592255652009,0.611369669662963,1.52
119,38,1,2,985.570013470799,2.00358587202209,0.594955371945616,1.73
120,1,1,1,991.348778658368,1.00795722355724,0.611696269937966,1.48
121,44,1,2.5,996.531056145104,2.50874548327374,0.561692772740571,1.74
122,35,1,2.5,1002.8727218826,2.50065919992994,0.611575989729317,1.4
123,102,1,2,1009.50067412521,2.00549630804198,0.561536203611467,1.75
124,17,1,2,1015.26146985927,2.01109270326378,0.66156309838334,1.37
125,123,1,1.5,1021.12589562663,1.51328979248319,0.678170839453742,1.51
126,153,1,1.5,1026.65638929348,1.49908004662575,0.644927847970393,1.69
127,133,1,1,1031.75269481809,1.00268186821268,0.628245187841458,1.29
128,129,1,1,1036.40430216847,1.00087239733148,0.494918819638769,1.34
129,85,1,1,1041.19628208314,1.00887820121716,0.561579223538502,1.5
130,16,1,2.5,1045.99865701733,2.50608527135228,0.611556967312936,1.35
131,111,1,1,1052.31749234201,1.00382818835533,0.544883686696267,1.52
132,177,1,1.5,1057.232958182,1.50487105581124,0.511508416249853,1.57
133,144,1,1.5,1144.35114943689,1.50066505297946,NaN,1.69
134,190,2,2.5,1149.70710422909,0,0,1.48
135,74,1,2,1156.12728777494,2.0069253305719,0.578296124020198,1.54
136,182,2,1,1161.93114031198,0,0,1.58
137,121,1,2.5,1166.80221719445,2.49820355215888,0.561641851190871,1.45
138,157,1,1,1172.99715190512,1.00321332529165,0.628260698427766,1.4
139,125,1,2,1177.84460792017,2.00556625200625,0.528293797433435,1.46
140,71,1,2.5,1183.60966291983,2.50740074468376,0.494843607926668,1.34
141,124,1,2.5,1190.24314512553,2.50661555782062,0.528256630557735,1.69
142,127,1,2.5,1196.92065544812,2.51215137395957,0.578304903598109,1.74
143,5,1,1,1203.10093353245,0.998409433246707,NaN,1.37
144,172,1,1,1207.92169114559,1.01075029974891,0.644937505505368,1.53
145,14,1,1,1212.48163795306,1.00070090291956,0.578284417919349,1.25
146,67,1,1.5,1217.19490807929,1.50382540815554,0.628329179129651,1.37
147,114,1,1,1222.35688689066,1.0085899384303,0.578171161370847,1.36
148,105,1,2,1227.33397073064,1.99776267105153,0.461635734753145,1.58
149,79,1,2,1233.23705590337,2.01111494485849,0.511672009039103,1.52
150,145,1,2,1239.18567371989,2.01280267227048,0.511543827211426,1.55
151,49,1,2.5,1244.9958937917,2.50186375793419,0.544887198528158,1.36
152,134,1,1.5,1251.45342653733,1.51088038381931,0.711583569431241,1.62
153,196,2,2.5,1256.91199615103,0,0,1.58
154,191,2,2.5,1263.49066921157,0,0,1.74
155,37,1,1.5,1269.93356054879,1.51341036534541,0.57830607420874,1.61
156,90,1,1.5,1275.06660597052,1.51357395813466,0.744811342980029,1.27
157,161,1,2.5,1280.53655420906,2.51012651078236,0.478302591644024,1.53
158,165,1,1.5,1286.8650333141,1.49795509012074,0.628234944999349,1.48
159,136,1,2,1292.44856938251,1.99754991262853,0.478279764742183,1.71
160,64,1,1,1297.99821072215,0.99777964490022,0.64490531372212,1.26
161,95,1,1.5,1302.73713682181,1.50874958040913,0.4781907983579,1.39
162,96,1,1,1308.28691424489,1.00874475164164,0.52823438895939,1.74
163,195,2,2,1312.99233777024,0,0,1.38
164,2,1,1,1318.86720713744,1.01128790253279,0.595020633469176,1.6
165,193,2,1,1323.76647641323,0,0,1.67
166,47,1,1.5,1328.85984136474,1.50161032080177,0.578358751672567,1.75
167,29,1,2.5,1334.29082759515,2.50385379545514,0.66160026525904,1.5
168,151,1,1.5,1340.60017336739,1.51135448099376,0.561501377953391,1.47
169,159,1,1,1345.93498401093,1.00964026852671,0.577908652010592,1.53
170,89,1,2,1350.62131751605,2.00622530560941,0.511546753736184,1.29
171,39,1,2,1356.31123016218,1.99931665623444,0.544936071508346,1.29
172,156,1,2,1362.31689269688,2.01015884889057,0.461697484446631,1.62
173,120,1,1.5,1368.15740728547,1.50268259984296,0.528340914499495,1.49
174,36,1,2.5,1373.80074222547,2.50911539612935,0.461679047333746,1.71
175,34,1,1.5,1379.91139796917,1.49885616740357,0.578258664490932,1.26
176,106,1,1.5,1385.13585722768,1.50744786174801,0.494836291611136,1.39
177,45,1,2,1390.64135485266,2.00147848081724,0.511520415006089,1.6
178,7,1,1,1396.62201607775,1.00384984464472,0.628175243875376,1.69
179,53,1,2,1401.33092772915,2.01153665722268,0.511611429956247,1.32
180,97,1,1,1407.06722610133,1.00825982632159,0.661557245332006,1.43
181,155,1,1.5,1412.02980286044,1.51210630546302,0.628372784363819,1.62
182,197,2,1,1417.38198828746,0,0,1.62
183,32,1,1.5,1422.16581929113,1.50926347833411,0.828181623701312,1.45
184,30,1,1,1427.66140272477,1.01326564864576,0.528316916987023,1.69
185,91,1,1,1432.49250648445,0.998754763286342,0.528254289336473,1.52
186,118,1,1,1437.26752484108,1.00685333803813,0.511619038923527,1.48
187,141,1,2.5,1442.21170955636,2.5125991324021,0.494994324004438,1.51
188,176,1,2,1448.73546372703,2.00511088459825,0.544914122565388,1.63
189,27,1,2,1454.6842305037,2.0062077464554,0.511563727584871,1.55
190,173,1,1.5,1460.56046948497,1.51347562686897,0.544987285707975,1.53
191,164,1,2.5,1466.08527018125,2.50469341569806,0.544987871013291,1.59
192,81,1,2.5,1472.50291379538,2.50350700215313,0.461612907853123,1.49
193,46,1,2,1478.88675047651,2.00286448342013,0.528527626842333,1.5
194,6,1,1.5,1484.70566906086,1.50106598701132,0.661332195501018,1.47
195,19,1,2.5,1490.26639344622,2.5061575565378,0.478351464624211,1.62
196,185,2,2,1496.64004991482,0,0,1.56
197,80,1,1.5,1502.2287112078,1.51026200892375,0.47815889922822,1.26
198,169,1,1.5,1507.5582131336,1.51366936287377,0.478304347558151,1.48
