TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,176,1,1.5,246.54608122104,1.50048214512026,0.577207163783896,1.7
2,143,1,1,252.009524963411,1.00331516838742,0.677925011288607,1.62
3,198,2,1,256.665729885768,0,0,1.42
4,47,1,1.5,261.713593214674,1.49859219477912,0.528035385208568,1.71
5,22,1,1.5,267.183331913968,1.51177736396676,0.511468908151073,1.62
6,145,1,2,272.813376622502,2.01585006354981,0.527158012784639,1.72
7,159,1,1.5,278.571682175791,1.50671769356995,0.577956647031897,1.39
8,40,1,1,283.928718026609,0.999229153112537,0.528280335416639,1.55
9,190,2,2,288.817851573051,0,0,1.56
10,127,1,2.5,294.587561797249,2.50680373342584,NaN,1.33
11,115,1,2,301.098033638073,2.01259576689881,0.595018584901482,1.61
12,38,1,1,307.002190797188,1.00828206791994,0.794998040690189,1.59
13,82,1,2,312.133432601087,2.01038887381583,0.544907976860486,1.7
14,52,1,2.5,318.077653605289,2.49906921848014,0.578273882425492,1.5
15,61,1,2.5,324.765167378251,2.51135740751852,0.59497907680452,1.75
16,59,1,1.5,331.296980615571,1.51288007887706,0.661583876715667,1.68
17,178,1,1.5,336.765959003471,1.51038316709128,0.74488275020849,1.61
18,30,1,1.5,341.876620600224,1.49927875772482,0.611591500315626,1.26
19,7,1,2.5,347.174435568291,2.50136741916504,0.611618131701107,1.33
20,77,1,1,353.69100394759,1.00140531767283,0.999986537981385,1.71
21,125,1,2.5,358.402617074931,2.50602088778578,0.494954230598523,1.28
22,32,1,1.5,364.957701459838,1.50074933692304,0.661590315072317,1.71
23,65,1,1.5,370.223022041713,1.50205924985494,0.761677788927045,1.43
24,103,1,2,375.745830944557,2.01236925380181,0.545030890942144,1.64
25,84,1,2.5,381.865379814757,2.50910456798556,0.47827625291211,1.68
26,109,1,2.5,388.410190630962,2.49750674637471,0.494972375061479,1.61
27,24,1,2,394.862700287766,2.01149392994557,0.545057522327625,1.57
28,175,1,1.5,400.538914159439,1.50163226974473,NaN,1.32
29,105,1,2.5,406.13198719001,2.50832991661446,0.528314868419329,1.66
30,181,2,1.5,412.398518182943,0,0,1.48
31,46,1,1,417.441525820297,0.998637702256019,0.578165015667764,1.25
32,17,1,1,422.009682995802,1.01347957767939,0.71160405511182,1.27
33,193,2,2,426.60709986857,0,0,1.26
34,196,2,2.5,432.570448352526,0,0,1.6
35,72,1,2.5,439.214982582782,2.50750961144149,0.561605269618667,1.73
36,37,1,1,445.682741487395,1.0062138921603,0.878216434724891,1.66
37,185,2,1,450.54895828852,0,0,1.63
38,69,1,1,455.423554903526,0.998543760779285,0.961658122674635,1.59
39,106,1,1.5,460.176185045395,1.51230647982629,0.744900016710744,1.41
40,102,1,1.5,465.589627631787,1.49864838407484,0.67826419562698,1.56
41,27,1,1,470.773733904474,0.997860709665474,0.661657332513641,1.38
