TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,66,1,1,6.47657620000018,1.02053749999959,NaN,1.34
2,179,1,2.5,15.1495697999999,2.50778160000027,NaN,1.36
3,42,1,1.5,22.1773662000001,0,NaN,1.71
4,101,1,2,0,0,0,0
5,43,1,2,0,0,0,0
6,163,1,2,0,0,0,0
7,99,1,2.5,0,0,0,0
8,35,1,2.5,0,0,0,0
9,5,1,2,0,0,0,0
10,114,1,2.5,0,0,0,0
11,153,1,2.5,0,0,0,0
12,75,1,2.5,0,0,0,0
13,41,1,2,0,0,0,0
14,172,1,1.5,0,0,0,0
15,53,1,1.5,0,0,0,0
16,104,1,2.5,0,0,0,0
17,192,2,2,0,0,0,0
18,45,1,2.5,0,0,0,0
19,72,1,2,0,0,0,0
20,106,1,1,0,0,0,0
21,9,1,2.5,0,0,0,0
22,11,1,1.5,0,0,0,0
23,155,1,1,0,0,0,0
24,122,1,2.5,0,0,0,0
25,188,2,2,0,0,0,0
26,125,1,2.5,0,0,0,0
27,2,1,1,0,0,0,0
28,190,2,1,0,0,0,0
29,50,1,1,0,0,0,0
30,31,1,1,0,0,0,0
31,158,1,1,0,0,0,0
32,79,1,2,0,0,0,0
33,120,1,2.5,0,0,0,0
34,90,1,1.5,0,0,0,0
35,193,2,1,0,0,0,0
36,124,1,1.5,0,0,0,0
37,165,1,1,0,0,0,0
38,175,1,2,0,0,0,0
39,197,2,2,0,0,0,0
40,169,1,2.5,0,0,0,0
41,150,1,1.5,0,0,0,0
42,174,1,2.5,0,0,0,0
43,3,1,1,0,0,0,0
44,113,1,2.5,0,0,0,0
45,26,1,1,0,0,0,0
46,71,1,1.5,0,0,0,0
47,110,1,2,0,0,0,0
48,123,1,1,0,0,0,0
49,89,1,2,0,0,0,0
50,108,1,1,0,0,0,0
51,40,1,1,0,0,0,0
52,159,1,2,0,0,0,0
53,173,1,2,0,0,0,0
54,136,1,2.5,0,0,0,0
55,133,1,1.5,0,0,0,0
56,22,1,2.5,0,0,0,0
57,6,1,1.5,0,0,0,0
58,15,1,1,0,0,0,0
59,19,1,1,0,0,0,0
60,107,1,1.5,0,0,0,0
61,92,1,2.5,0,0,0,0
62,54,1,1,0,0,0,0
63,134,1,2,0,0,0,0
64,156,1,1.5,0,0,0,0
65,186,2,1,0,0,0,0
66,13,1,2,0,0,0,0
67,4,1,2.5,0,0,0,0
68,109,1,1.5,0,0,0,0
69,167,1,2,0,0,0,0
70,83,1,2,0,0,0,0
71,18,1,1.5,0,0,0,0
72,36,1,1,0,0,0,0
73,63,1,1,0,0,0,0
74,170,1,2,0,0,0,0
75,105,1,1.5,0,0,0,0
76,194,2,1,0,0,0,0
77,12,1,1,0,0,0,0
78,82,1,1,0,0,0,0
79,178,1,1.5,0,0,0,0
80,29,1,1.5,0,0,0,0
81,10,1,1,0,0,0,0
82,88,1,2,0,0,0,0
83,119,1,1,0,0,0,0
84,32,1,1.5,0,0,0,0
85,181,2,2.5,0,0,0,0
