TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,37,1,1,164.322451339925,1.00198798895326,0.710594696374756,1.64
2,88,1,2,169.334628028333,2.00618257833321,0.594674425472476,1.52
3,142,1,1.5,175.101025425363,1.50609200236067,0.711260188333654,1.33
4,30,1,1,180.570497518161,1.00318815716946,0.577719891098241,1.59
5,56,1,1.5,185.379076101669,1.51106885207901,0.460554676134052,1.38
6,152,1,2.5,191.085122977003,2.5045643559115,0.244999079607624,1.67
7,59,1,2.5,197.639822231119,2.49980699562548,0.495142406206469,1.52
8,124,1,1.5,204.132945041895,1.50607473585933,0.494976472195958,1.57
9,57,1,1,209.307471332486,0.998341537848319,0.545176631925642,1.3
10,34,1,1.5,214.304622359652,1.50074260591282,0.478587342600804,1.59
11,185,2,1,219.683572035407,0,0,1.58
12,120,1,2,224.41631350817,2.00526745372645,0.461691631394388,1.26
13,105,1,2.5,230.18603631643,2.50226527726954,0.578194573577093,1.25
14,53,1,2.5,236.866031844698,2.50522545808144,0.461650074728823,1.66
15,6,1,2,243.580675096818,2.00704795200272,0.428183204024208,1.74
16,47,1,1.5,249.372934787349,1.51500093209779,0.678198641448034,1.37
17,163,1,2,254.610226568699,2.01059373062071,0.444884886572254,1.27
18,155,1,2.5,260.704763008481,2.49886670289743,0.628230262558645,1.55
19,82,1,1.5,267.084805448957,1.5019931103725,0.511648596833766,1.46
20,19,1,2.5,272.433281797215,2.5034115974122,0.528350279380902,1.35
21,143,1,1.5,278.853385448904,1.50006394458796,0.528366375272526,1.5
22,45,1,1,284.233200498329,1.00296398529645,0.844922814345409,1.52
23,91,1,1.5,289.358336398869,1.51156519084907,0.494853850766958,1.72
24,41,1,1.5,294.552509920191,1.50004667808571,0.495180743694618,1.27
25,44,1,1.5,299.972312139726,1.51367316735832,0.511585969181397,1.52
26,197,2,1.5,305.529594345485,0,0,1.7
27,169,1,2,311.162250100307,2.00652498184809,0.611489657218954,1.68
28,132,1,1,316.810353814039,1.00811584125404,0.744950060301562,1.27
29,27,1,2.5,321.9343164704,2.50048009655166,0.561619609595255,1.62
30,8,1,2,328.365714170326,2.00220981960683,0.645469255237913,1.46
31,103,1,2.5,334.584048503068,2.50051580016589,0.394927921133785,1.71
32,3,1,1,341.183943557854,1.00049926529573,0.694713318998765,1.72
33,60,1,2.5,346.349266510215,2.50133405677025,0.495019492124811,1.66
34,76,1,1,352.879813147183,1.00405967654297,0.944970780104086,1.65
35,180,1,2,357.633172871926,2.00047351186913,0.494953937947685,1.29
